cte,steering_angle,error
0.7598,-0.03799,0.577296
0.7598,-0.03799,0.577296
0.7598,-0.03799,0.577296
0.7598,-0.03799,0.577296
0.7598,-0.03799,0.577296
0.7598,-0.03799,0.577296
0.7599,-0.038495,0.577318
0.7598,-0.03749,0.577315
0.7597,-0.037485,0.577296
0.7596,-0.03748,0.577266
0.7595,-0.037475,0.577227
0.7594,-0.03747,0.577182
0.7591,-0.036455,0.577109
0.7589,-0.036945,0.577025
0.7586,-0.03643,0.576921
0.7582,-0.03591,0.576793
0.7578,-0.03589,0.576644
0.7574,-0.03587,0.576478
0.7569,-0.035345,0.57629
0.7564,-0.03532,0.576082
0.756,-0.0358,0.575866
0.7554,-0.03477,0.575628
0.7547,-0.034235,0.575364
0.754,-0.0342,0.575079
0.7532,-0.03366,0.574768
0.7526,-0.03463,0.574447
0.7516,-0.03258,0.574093
0.7506,-0.03253,0.573711
0.7495,-0.031975,0.573299
0.7483,-0.031415,0.572854
0.7475,-0.033375,0.572399
0.7462,-0.03081,0.571912
0.7447,-0.029735,0.571387
0.7432,-0.02966,0.570827
0.7416,-0.02908,0.570231
0.7399,-0.028495,0.569598
0.7381,-0.027905,0.568928
0.735,-0.02125,0.568172
0.7336,-0.02968,0.567403
0.7316,-0.02658,0.566599
0.7295,-0.025975,0.565759
0.7272,-0.02486,0.56488
0.7248,-0.02424,0.56396
0.7223,-0.023615,0.563
0.7206,-0.02753,0.562028
0.7181,-0.023405,0.56102
0.7153,-0.021765,0.55997
0.7124,-0.02112,0.558877
0.7096,-0.02148,0.557748
0.7076,-0.02538,0.556607
0.7046,-0.02023,0.555427
0.7031,-0.027655,0.554253
0.7046,-0.04273,0.553162
0.7111,-0.068055,0.552283
0.7105,-0.032525,0.55142
0.7104,-0.03502,0.550585
0.7119,-0.043095,0.549817
0.7159,-0.055795,0.549173
0.7213,-0.063065,0.548684
0.7273,-0.066365,0.548355
0.7334,-0.06717,0.548183
0.739,-0.06495,0.54815
0.7425,-0.054625,0.5482
0.7475,-0.062375,0.548365
0.7525,-0.062625,0.54864
0.7572,-0.06136,0.549015
0.7615,-0.059575,0.549475
0.7641,-0.051205,0.549981
0.7679,-0.057395,0.550556
0.7716,-0.05708,0.551196
0.7749,-0.055245,0.55189
0.7779,-0.053895,0.55263
0.7797,-0.047985,0.553387
0.7821,-0.051105,0.554175
0.7843,-0.050215,0.554988
0.7863,-0.049315,0.55582
0.7878,-0.04689,0.556662
0.7891,-0.045955,0.557508
0.7897,-0.042485,0.558345
0.7904,-0.04302,0.559175
0.7909,-0.042045,0.559994
