cte,steering_angle,error
0.7598,-0.154999,0.577296
0.7598,-0.156519,0.577296
0.7598,-0.158038,0.577296
0.7598,-0.159558,0.577296
0.7598,-0.161078,0.577296
0.7598,-0.162597,0.577296
0.7598,-0.164117,0.577296
0.7596,-0.164596,0.577258
0.7592,-0.165034,0.577161
0.7587,-0.165952,0.577007
0.7582,-0.167368,0.576813
0.7578,-0.169304,0.5766
0.7568,-0.167617,0.576304
0.7559,-0.169449,0.575952
0.7553,-0.17234,0.575587
0.7538,-0.169047,0.575127
0.7529,-0.173373,0.57464
0.7515,-0.172096,0.574091
0.7498,-0.171756,0.573465
0.748,-0.172392,0.572767
0.746,-0.172484,0.571993
0.7436,-0.171491,0.571127
0.742,-0.176655,0.570233
0.7392,-0.171573,0.569241
0.7361,-0.170926,0.568145
0.7327,-0.170211,0.566941
0.729,-0.169429,0.565626
0.7263,-0.175342,0.564265
0.7219,-0.167405,0.562778
0.717,-0.165359,0.561155
0.695,-0.0768494,0.558635
0.6902,-0.16327,0.556064
0.6839,-0.155878,0.553387
0.6765,-0.150251,0.550571
0.6227,0.091264,0.545919
0.6144,-0.135805,0.541241
0.6065,-0.137438,0.536554
0.5964,-0.125611,0.531795
0.5699,-0.0394504,0.526487
0.5551,-0.0961006,0.521028
0.5458,-0.122832,0.515586
0.5313,-0.0949948,0.510031
0.5156,-0.086886,0.504352
0.5014,-0.0925488,0.498603
0.491,-0.110451,0.492881
0.4876,-0.145746,0.487334
0.4732,-0.0888124,0.48173
0.4558,-0.071244,0.476022
0.4412,-0.0832064,0.47028
0.4329,-0.113912,0.464622
0.4215,-0.0969752,0.458996
0.41,-0.0949952,0.453401
0.3981,-0.0914114,0.447837
0.3855,-0.0861624,0.442296
0.3722,-0.0807468,0.436773
0.363,-0.100133,0.431326
0.3487,-0.0724702,0.425892
0.3332,-0.0640366,0.420464
0.3226,-0.0870618,0.415101
0.3065,-0.0569548,0.409748
0.2894,-0.0491136,0.404404
0.2719,-0.0441574,0.399074
0.2602,-0.0713378,0.393814
0.2424,-0.0377626,0.388579
0.2237,-0.02997,0.383371
0.211,-0.057852,0.378236
0.1921,-0.0234562,0.373142
0.1723,-0.0153408,0.368091
0.1524,-0.0111656,0.363093
0.1393,-0.0428242,0.358183
0.1199,-0.007684,0.353341
0.0997,0.000156596,0.348571
0.0794,0.0045578,0.343883
0.0662,-0.0284346,0.339295
0.0469,0.0058316,0.3348
0.0268,0.013798,0.330405
0.0071,0.0157238,0.326114
-0.0058,-0.0156846,0.321934
-0.0246,0.0176246,0.317866
-0.0437,0.023032,0.313917
-0.0626,0.0259372,0.31009
-0.0747,-0.0054934,0.306376
-0.0918,0.0231102,0.302786
-0.1095,0.0298692,0.299325
-0.1265,0.0300222,0.295991
-0.1427,0.0295476,0.292786
-0.1579,0.0279034,0.289708
-0.1675,0.0021584,0.286734
-0.1814,0.0268012,0.283882
-0.1953,0.0299718,0.281152
-0.2087,0.0305692,0.278541
-0.2209,0.027451,0.276044
-0.2323,0.0261956,0.273656
-0.2393,0.0060742,0.271354
-0.2492,0.0230526,0.269151
-0.259,0.0250306,0.267046
-0.2652,0.008801,0.265018
-0.2736,0.0220282,0.263078
-0.2816,0.0221914,0.261221
-0.2888,0.0217286,0.259443
-0.2931,0.0101944,0.257725
-0.2988,0.0204516,0.256074
-0.3039,0.020599,0.254484
-0.3083,0.0201152,0.252951
-0.3116,0.017418,0.251467
-0.3133,0.0119042,0.25002
-0.3151,0.014914,0.248612
-0.3162,0.0137856,0.247235
-0.3166,0.0125172,0.245887
-0.3161,0.0100668,0.24456
-0.3149,0.008473,0.24325
-0.3136,0.0098558,0.241956
-0.3102,0.000809799,0.240667
-0.308,0.0084976,0.239388
-0.3043,0.0023768,0.238111
-0.2997,-0.000936201,0.236833
-0.2943,-0.0039218,0.235549
-0.2821,-0.0382946,0.234227
-0.2649,-0.0647052,0.232848
-0.2437,-0.0869618,0.231403
-0.2197,-0.10383,0.229889
-0.1967,-0.10155,0.228322
-0.1768,-0.0881922,0.22672
-0.1652,-0.0472034,0.225112
-0.1451,-0.091961,0.223479
-0.1359,-0.0375638,0.221852
-0.1238,-0.0527782,0.220226
-0.1123,-0.050401,0.218604
-0.1015,-0.0474142,0.216989
-0.0918,-0.0422366,0.215385
-0.083,-0.0379406,0.213793
-0.075,-0.0340102,0.212216
-0.07,-0.0185024,0.210658
-0.0629,-0.0289436,0.209115
-0.0558,-0.0290066,0.207589
-0.0489,-0.02806,0.20608
-0.0424,-0.0260622,0.204589
-0.0363,-0.0240168,0.203116
-0.0304,-0.0229962,0.201662
-0.0267,-0.0115726,0.200226
